‡ ¸ôßàçqº0;20;8;0;0;0;0;8;11;x
35;28;15;0;0;0;0;13;11;x
35;24;18;0;0;0;0;22;11;x
35;29;10;18;7;0;0;22;11;x
35;28;12;19;8;17;0;22;18;x
35;27;12;19;13;17;0;22;18;x
36;23;12;19;13;17;0;22;18;x
36;15;12;19;13;17;0;22;18;x
36;16;12;19;13;17;0;22;18;x
36;16;12;19;13;17;0;22;18;x
36;16;12;19;13;17;0;22;18;x
21;12;12;19;13;17;0;22;18;x
21;12;12;12;13;17;0;22;11;x
29;18;12;12;13;17;0;22;11;x
29;25;12;12;7;13;0;15;11;x
29;25;12;12;7;12;0;20;11;x
30;25;12;12;7;12;0;20;11;x
30;23;12;11;7;12;0;20;11;x
13;23;12;11;7;12;0;20;11;x
13;14;12;7;7;12;0;20;11;x
13;14;12;7;7;12;0;20;11;x
13;14;12;7;7;12;0;20;11;x
13;14;12;7;7;12;0;20;11;x
20;14;12;7;7;12;0;20;11;x
20;14;12;7;7;12;0;20;11;x
20;19;13;7;7;12;0;20;11;x
20;24;10;7;10;12;0;20;10;x
20;24;10;7;12;12;0;20;20;x
32;24;13;7;12;12;0;20;19;x
32;18;11;7;11;12;0;20;19;x
37;28;14;18;11;12;0;20;19;x
37;23;15;18;11;12;0;20;19;x
37;23;12;18;11;12;0;20;21;x
37;19;12;11;11;8;0;20;15;x
37;19;10;11;11;8;0;20;15;x
20;19;10;11;11;8;0;20;15;x
20;19;10;11;11;8;0;20;15;x
20;15;10;11;11;8;0;20;15;x
20;15;10;11;11;8;0;20;15;x
20;15;8;15;11;8;0;20;14;x
19;20;10;15;11;8;0;20;14;x
19;32;11;15;11;8;0;20;14;x
29;21;9;15;11;8;0;20;14;x
29;22;13;15;11;18;0;20;14;x
29;22;15;15;11;15;0;20;14;x
27;22;9;15;11;9;0;20;14;x
